name,level,division,conference,state,city,athletics_url
University of Notre Dame du Lac,college,NCAA_D1_FBS,Atlantic Coast Conference,IN,Notre Dame,
University of Oklahoma,college,NCAA_D1_FBS,Southeastern Conference,OK,Norman,
University of Olivet,college,NCAA_D3,Michigan Intercollegiate Athletic Association,MI,Olivet,
University of Oregon,college,NCAA_D1_FBS,Big Ten Conference,OR,Eugene,
University of Pennsylvania,college,NCAA_D1_FCS,Ivy League,PA,Philadelphia,
University of Pikeville,college,NAIA,Appalachian Athletic Conference,KY,Pikeville,
University of Pittsburgh,college,NCAA_D1_FBS,Atlantic Coast Conference,PA,Pittsburgh,
University of Pittsburgh at Bradford,college,NCAA_D3,Allegheny Mountain Collegiate Conference,PA,Bradford,
University of Pittsburgh at Greensburg,college,NCAA_D3,Allegheny Mountain Collegiate Conference,PA,Greensburg,
University of Pittsburgh at Johnstown,college,NCAA_D2,Pennsylvania State Athletic Conference,PA,Johnstown,
University of Portland,college,NCAA_D1,West Coast Conference,OR,Portland,
University of Providence,college,NAIA,Frontier Conference,MT,Great Falls,
University of Puerto Rico at Bayamón,college,NCAA_D2,Independent,PR,Bayamón,
University of Puerto Rico at Mayagüez,college,NCAA_D2,Independent,PR,Mayagüez,
University of Puerto Rico at Río Piedras,college,NCAA_D2,Independent,PR,San Juan,
University of Puget Sound,college,NCAA_D3,Northwest Conference,WA,Tacoma,
University of Redlands,college,NCAA_D3,Southern California Intercollegiate Athletic Conference,CA,Redlands,
University of Rhode Island,college,NCAA_D1_FCS,Atlantic 10 Conference,RI,Kingston,
University of Richmond,college,NCAA_D1_FCS,Atlantic 10 Conference,VA,Richmond,
University of Rio Grande,college,NAIA,River States Conference,OH,Rio Grande,
University of Rochester,college,NCAA_D3,University Athletic Association,NY,Rochester,
University of Saint Francis,college,NAIA,Crossroads League,IN,Fort Wayne,
University of Saint Joseph,college,NCAA_D3,Great Northeast Athletic Conference,CT,West Hartford,
University of Saint Mary,college,NAIA,Kansas Collegiate Athletic Conference,KS,Leavenworth,
University of Saint Thomas,college,NCAA_D1_FCS,Summit League,MN,Saint Paul,
University of San Diego,college,NCAA_D1_FCS,West Coast Conference,CA,San Diego,
University of San Francisco,college,NCAA_D1,West Coast Conference,CA,San Francisco,
University of Science and Arts of Oklahoma,college,NAIA,Sooner Athletic Conference,OK,Chickasha,
University of Scranton,college,NCAA_D3,Landmark Conference,PA,Scranton,
University of Sioux Falls,college,NCAA_D2,Northern Sun Intercollegiate Conference,SD,Sioux Falls,
University of South Alabama,college,NCAA_D1_FBS,Sun Belt Conference,AL,Mobile,
University of South Carolina,college,NCAA_D1_FBS,Southeastern Conference,SC,Columbia,
University of South Carolina Aiken,college,NCAA_D2,Peach Belt Conference,SC,Aiken,
University of South Carolina Beaufort,college,NCAA_D2,Peach Belt Conference,SC,Bluffton,
University of South Carolina Upstate,college,NCAA_D1,Big South Conference,SC,Spartanburg,
University of South Dakota,college,NCAA_D1_FCS,Summit League,SD,Vermillion,
University of South Florida,college,NCAA_D1_FBS,American Conference,FL,Tampa,
University of Southern California,college,NCAA_D1_FBS,Big Ten Conference,CA,Los Angeles,
University of Southern Indiana,college,NCAA_D1,Ohio Valley Conference,IN,Evansville,
University of Southern Maine,college,NCAA_D3,Little East Conference,ME,Portland,
University of Southern Mississippi,college,NCAA_D1_FBS,Sun Belt Conference,MS,Hattiesburg,
University of St. Francis,college,NAIA,Chicagoland Collegiate Athletic Conference,IL,Joliet,
University of St. Thomas,college,NCAA_D1_FCS,PFL,MN,Saint Paul,
University of St. Thomas (Texas),college,NCAA_D3,Southern Collegiate Athletic Conference,TX,Houston,
University of Tampa,college,NCAA_D2,Sunshine State Conference,FL,Tampa,
University of Tennessee Southern(UT Southern),college,NAIA,Southern States Athletic Conference,TN,Pulaski,
University of Texas at Dallas,college,NCAA_D2,Lone Star Conference,TX,Richardson,
University of Texas at Tyler,college,NCAA_D2,Lone Star Conference,TX,Tyler,
University of Texas Permian Basin,college,NCAA_D2,Lone Star Conference,TX,Odessa,
University of Texas Rio Grande Valley,college,NCAA_D1_FCS,Southland,TX,Brownsville&Edinburg,
University of the Cumberlands,college,NAIA,Mid-South Conference,KY,Williamsburg,
University of the District of Columbia,college,NCAA_D2,East Coast Conference,DC,Washington,
University of the Incarnate Word,college,NCAA_D1_FCS,Southland Conference,TX,San Antonio,
University of the Ozarks,college,NCAA_D3,Southern Collegiate Athletic Conference,AR,Clarksville,
University of the Pacific,college,NCAA_D1,West Coast Conference,CA,Stockton,
University of the South,college,NCAA_D3,Southern Athletic Association,TN,Sewanee,
University of the Southwest,college,NAIA,Red River Athletic Conference,NM,Hobbs,
University of the Virgin Islands,college,NAIA,HBCU Athletic Conference,,Saint Thomas,
University of Toledo,college,NCAA_D1_FBS,Mid-American Conference,OH,Toledo,
University of Utah,college,NCAA_D1_FBS,Big 12 Conference,UT,Salt Lake City,
University of Valley Forge,college,NCAA_D3,United East Conference,PA,Phoenixville,
University of Victoria*,college,NAIA,Continental Athletic Conference,,Victoria,
University of Virginia,college,NCAA_D1_FBS,Atlantic Coast Conference,VA,Charlottesville,
University of Virginia's College at Wise,college,NCAA_D2,South Atlantic Conference,VA,Wise,
University of Washington,college,NCAA_D1_FBS,Big Ten Conference,WA,Seattle,
University of West Alabama,college,NCAA_D2,Gulf South Conference,AL,Livingston,
University of West Florida,college,NCAA_D2,Gulf South Conference,FL,Pensacola,
University of West Georgia,college,NCAA_D2,Atlantic Sun Conference,GA,Carrollton,
University of Wisconsin–Eau Claire,college,NCAA_D3,Wisconsin Intercollegiate Athletic Conference,WI,Eau Claire,
University of Wisconsin–Green Bay,college,NCAA_D1,Horizon League,WI,Green Bay,
University of Wisconsin–La Crosse,college,NCAA_D3,Wisconsin Intercollegiate Athletic Conference,WI,La Crosse,
University of Wisconsin–Madison,college,NCAA_D1_FBS,Big Ten Conference,WI,Madison,
University of Wisconsin–Milwaukee,college,NCAA_D1,Horizon League,WI,Milwaukee,
University of Wisconsin–Oshkosh,college,NCAA_D3,Wisconsin Intercollegiate Athletic Conference,WI,Oshkosh,
University of Wisconsin–Parkside,college,NCAA_D2,Great Lakes Intercollegiate Athletic Conference,WI,Kenosha,
University of Wisconsin–Platteville,college,NCAA_D3,Wisconsin Intercollegiate Athletic Conference,WI,Platteville,
University of Wisconsin–River Falls,college,NCAA_D3,Wisconsin Intercollegiate Athletic Conference,WI,River Falls,
University of Wisconsin–Stevens Point,college,NCAA_D3,Wisconsin Intercollegiate Athletic Conference,WI,Stevens Point,
University of Wisconsin–Stout,college,NCAA_D3,Wisconsin Intercollegiate Athletic Conference,WI,Menomonie,
University of Wisconsin–Superior,college,NCAA_D3,Upper Midwest Athletic Conference,WI,Superior,
University of Wisconsin–Whitewater,college,NCAA_D3,Wisconsin Intercollegiate Athletic Conference,WI,Whitewater,
University of Wyoming,college,NCAA_D1_FBS,Mountain West Conference,WY,Laramie,
Upper Iowa University,college,NCAA_D2,Great Lakes Valley Conference,IA,Fayette,
Ursinus College,college,NCAA_D3,Centennial Conference,PA,Collegeville,
Ursuline College,college,NCAA_D2,Great Midwest Athletic Conference,OH,Pepper Pike,
Utah State University,college,NCAA_D1_FBS,Mountain West Conference,UT,Logan,
Utah Tech University,college,NCAA_D1_FCS,Western Athletic Conference,UT,Saint George,
Utah Valley University,college,NCAA_D1,Western Athletic Conference,UT,Orem,
Utica University,college,NCAA_D3,Empire 8,NY,Utica,
Valdosta State University,college,NCAA_D2,Gulf South Conference,GA,Valdosta,
Valley City State University,college,NAIA,Frontier Conference,ND,Valley City,
Valparaiso University,college,NCAA_D1_FCS,Missouri Valley Conference,IN,Valparaiso,
Vanderbilt University,college,NCAA_D1_FBS,Southeastern Conference,TN,Nashville,
Vanguard University,college,NCAA_D2,Pacific West Conference,CA,Costa Mesa,
Vassar College,college,NCAA_D3,Liberty League,NY,Poughkeepsie,
Vermont State University–Castleton,college,NCAA_D3,Little East Conference,VT,Castleton,
Vermont State University–Johnson,college,NCAA_D3,North Atlantic Conference,VT,Johnson,
Vermont State University–Lyndon,college,NCAA_D3,North Atlantic Conference,VT,Lyndonville,
Villanova University,college,NCAA_D1_FCS,Big East Conference,PA,Villanova,
Virginia Commonwealth University,college,NCAA_D1,Atlantic 10 Conference,VA,Richmond,
Virginia Military Institute,college,NCAA_D1_FCS,Southern Conference,VA,Lexington,
Virginia Polytechnic Institute and State University,college,NCAA_D1_FBS,Atlantic Coast Conference,VA,Blacksburg,
Virginia State University,college,NCAA_D2,Central Intercollegiate Athletic Association,VA,Ettrick,
Virginia Union University,college,NCAA_D2,Central Intercollegiate Athletic Association,VA,Richmond,
Virginia Wesleyan University,college,NCAA_D3,Old Dominion Athletic Conference,VA,Virginia Beach,
Viterbo University,college,NAIA,Chicagoland Collegiate Athletic Conference,WI,La Crosse,
Voorhees University,college,NAIA,HBCU Athletic Conference,SC,Denmark,
Wabash College,college,NCAA_D3,North Coast Athletic Conference,IN,Crawfordsville,
Wagner College,college,NCAA_D1_FCS,NEC,NY,Staten Island,
Wake Forest University,college,NCAA_D1_FBS,Atlantic Coast Conference,NC,Winston-Salem,
Waldorf University,college,NAIA,Great Plains Athletic Conference,IA,Forest City,
Walla Walla University,college,NAIA,Cascade Collegiate Conference,WA,College Place,
Walsh University,college,NCAA_D2,Great Midwest Athletic Conference,OH,North Canton,
Warner Pacific University,college,NAIA,Cascade Collegiate Conference,OR,Portland,
Warner University,college,NAIA,Sun Conference,FL,Lake Wales,
Warren Wilson College,college,NCAA_D3,Coast to Coast Athletic Conference,NC,Swannanoa,
Wartburg College,college,NCAA_D3,American Rivers Conference,IA,Waverly,
Washburn University,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,KS,Topeka,
Washington & Jefferson College,college,NCAA_D3,Presidents' Athletic Conference,PA,Washington,
Washington Adventist University,college,NAIA,Continental Athletic Conference,MD,Takoma Park,
Washington and Lee University,college,NCAA_D3,Old Dominion Athletic Conference,VA,Lexington,
Washington College,college,NCAA_D3,Centennial Conference,MD,Chestertown,
Washington State University,college,NCAA_D1_FBS,Pac-12 Conference,WA,Pullman,
Washington University in St. Louis,college,NCAA_D3,University Athletic Association,MO,St. Louis,
Wayland Baptist University,college,NAIA,Sooner Athletic Conference,TX,Plainview,
Wayne State College,college,NCAA_D2,Northern Sun Intercollegiate Conference,NE,Wayne,
Wayne State University,college,NCAA_D2,Great Lakes Intercollegiate Athletic Conference,MI,Detroit,
Waynesburg University,college,NCAA_D3,Presidents' Athletic Conference,PA,Waynesburg,
Webber International University,college,NAIA,Sun Conference,FL,Babson Park,
Weber State University,college,NCAA_D1_FCS,Big Sky Conference,UT,Ogden,
Webster University,college,NCAA_D3,St. Louis Intercollegiate Athletic Conference,MO,St. Louis,
Wellesley College,college,NCAA_D3,New England Women's and Men's Athletic Conference,MA,Wellesley,
Wentworth Institute of Technology,college,NCAA_D3,Conference of New England,MA,Boston,
Wesleyan College,college,NCAA_D3,Collegiate Conference of the South,GA,Macon,
Wesleyan University,college,NCAA_D3,New England Small College Athletic Conference,CT,Middletown,
West Chester University,college,NCAA_D2,Pennsylvania State Athletic Conference,PA,West Chester,
West Liberty University,college,NCAA_D2,Mountain East Conference,WV,West Liberty,
West Texas A&M University,college,NCAA_D2,Lone Star Conference,TX,Canyon,
West Virginia State University,college,NCAA_D2,Mountain East Conference,WV,Institute,
West Virginia University,college,NCAA_D1_FBS,Big 12 Conference,WV,Morgantown,
West Virginia University Institute of Technology(WVU Tech),college,NAIA,River States Conference,WV,Beckley,
West Virginia Wesleyan College,college,NCAA_D2,Mountain East Conference,WV,Buckhannon,
Westcliff University,college,NAIA,California Pacific Conference,CA,Irvine,
Western Carolina University,college,NCAA_D1_FCS,Southern Conference,NC,Cullowhee,
Western Colorado University,college,NCAA_D2,Rocky Mountain Athletic Conference,CO,Gunnison,
Western Connecticut State University,college,NCAA_D3,Little East Conference,CT,Danbury,
Western Illinois University,college,NCAA_D1_FCS,Ohio Valley Conference,IL,Macomb,
Western Kentucky University,college,NCAA_D1_FBS,Conference USA,KY,Bowling Green,
Western Michigan University,college,NCAA_D1_FBS,Mid-American Conference,MI,Kalamazoo,
Western New England University,college,NCAA_D3,Conference of New England,MA,Springfield,
Western New Mexico University,college,NCAA_D2,Lone Star Conference,NM,Silver City,
Western Oregon University,college,NCAA_D2,Great Northwest Athletic Conference,OR,Monmouth,
Western Washington University,college,NCAA_D2,Great Northwest Athletic Conference,WA,Bellingham,
Westfield State University,college,NCAA_D3,Massachusetts State Collegiate Athletic Conference,MA,Westfield,
Westminster College,college,NCAA_D3,St. Louis Intercollegiate Athletic Conference,MO,Fulton,
Westminster University,college,NCAA_D2,Rocky Mountain Athletic Conference,UT,Salt Lake City,
Westmont College,college,NCAA_D2,Pacific West Conference,CA,Santa Barbara,
Wheaton College,college,NCAA_D3,College Conference of Illinois and Wisconsin,IL,Wheaton,
Wheeling University,college,NCAA_D2,Mountain East Conference,WV,Wheeling,
Whitman College,college,NCAA_D3,Northwest Conference,WA,Walla Walla,
Whittier College,college,NCAA_D3,Southern California Intercollegiate Athletic Conference,CA,Whittier,
Whitworth University,college,NCAA_D3,Northwest Conference,WA,Spokane,
Wichita State University,college,NCAA_D1,American Conference,KS,Wichita,
Widener University,college,NCAA_D3,MAC Commonwealth,PA,Chester,
Wilberforce University,college,NAIA,HBCU Athletic Conference,OH,Wilberforce,
Wiley University,college,NAIA,HBCU Athletic Conference,TX,Marshall,
Wilkes University,college,NCAA_D3,Landmark Conference,PA,Wilkes-Barre,
Willamette University,college,NCAA_D3,Northwest Conference,OR,Salem,
William Carey University,college,NAIA,Southern States Athletic Conference,MS,Hattiesburg,
William Jewell College,college,NCAA_D2,Great Lakes Valley Conference,MO,Liberty,
William Marsh Rice University,college,NCAA_D1_FBS,American Conference,TX,Houston,
William Paterson University,college,NCAA_D3,New Jersey Athletic Conference,NJ,Wayne,
William Peace University,college,NCAA_D3,USA South Athletic Conference,NC,Raleigh,
William Penn University,college,NAIA,Heart of America Athletic Conference,IA,Oskaloosa,
William Smith College,college,NCAA_D3,Liberty League,NY,Geneva,
William Woods University,college,NAIA,Heart of America Athletic Conference,MO,Fulton,
Williams Baptist University,college,NAIA,American Midwest Conference,AR,Walnut Ridge,
Williams College,college,NCAA_D3,New England Small College Athletic Conference,MA,Williamstown,
Wilmington College,college,NCAA_D3,Ohio Athletic Conference,OH,Wilmington,
Wilmington University,college,NCAA_D2,Central Atlantic Collegiate Conference,DE,New Castle,
Wilson College,college,NCAA_D3,United East Conference,PA,Chambersburg,
Wingate University,college,NCAA_D2,South Atlantic Conference,NC,Wingate,
Winona State University,college,NCAA_D2,Northern Sun Intercollegiate Conference,MN,Winona,
Winston-Salem State University,college,NCAA_D2,Central Intercollegiate Athletic Association,NC,Winston-Salem,
Winthrop University,college,NCAA_D1,Big South Conference,SC,Rock Hill,
Wisconsin Lutheran College,college,NCAA_D3,Northern Athletics Collegiate Conference,WI,Milwaukee,
Wittenberg University,college,NCAA_D3,North Coast Athletic Conference,OH,Springfield,
Wofford College,college,NCAA_D1_FCS,Southern Conference,SC,Spartanburg,
Worcester Polytechnic Institute,college,NCAA_D3,New England Women's and Men's Athletic Conference,MA,Worcester,
Worcester State University,college,NCAA_D3,Massachusetts State Collegiate Athletic Conference,MA,Worcester,
Wright State University,college,NCAA_D1,Horizon League,OH,Dayton,
Xavier University,college,NCAA_D1,Big East Conference,OH,Cincinnati,
Xavier University of Louisiana,college,NAIA,Red River Athletic Conference(Southern States Athletic Conferencein 2026),LA,New Orleans,
Yale University,college,NCAA_D1_FCS,Ivy League,CT,New Haven,
Yeshiva University,college,NCAA_D3,Skyline Conference,NY,New York,
York College of Pennsylvania,college,NCAA_D3,MAC Commonwealth,PA,York,
"York College, City University of New York",college,NCAA_D3,City University of New York Athletic Conference,NY,Queens,
York University,college,NAIA,Kansas Collegiate Athletic Conference,NE,York,
Young Harris College,college,NCAA_D2,Conference Carolinas,GA,Young Harris,
Youngstown State University,college,NCAA_D1_FCS,Horizon League,OH,Youngstown,
