name,level,division,conference,state,city,athletics_url
Methodist University,college,NCAA_D3,USA South Athletic Conference,NC,Fayetteville,
Metropolitan State University of Denver,college,NCAA_D2,Rocky Mountain Athletic Conference,CO,Denver,
Miami (FL),college,NCAA_D1_FBS,ACC,FL,Coral Gables,
Miami (OH),college,NCAA_D1_FBS,MAC,OH,Oxford,
Miami University,college,NCAA_D1_FBS,Mid-American Conference,OH,Oxford,
Michigan State University,college,NCAA_D1_FBS,Big Ten Conference,MI,East Lansing,
Michigan Technological University,college,NCAA_D2,Great Lakes Intercollegiate Athletic Conference,MI,Houghton,
Mid-America Christian University,college,NAIA,Sooner Athletic Conference,OK,Oklahoma City,
MidAmerica Nazarene University,college,NAIA,Heart of America Athletic Conference,KS,Olathe,
Middle Georgia State University,college,NCAA_D2,Peach Belt Conference,GA,MaconandCochran,
Middle Tennessee State University,college,NCAA_D1_FBS,Conference USA,TN,Murfreesboro,
Middlebury College,college,NCAA_D3,New England Small College Athletic Conference,VT,Middlebury,
Midland University,college,NAIA,Great Plains Athletic Conference,NE,Fremont,
Midway University,college,NAIA,River States Conference,KY,Midway,
Midwestern State University,college,NCAA_D2,Lone Star Conference,TX,Wichita Falls,
Miles College,college,NCAA_D2,Southern Intercollegiate Athletic Conference,AL,Fairfield,
Millersville University of Pennsylvania,college,NCAA_D2,Pennsylvania State Athletic Conference,PA,Millersville,
Milligan University,college,NAIA,Appalachian Athletic Conference,TN,Elizabethton,
Millikin University,college,NCAA_D3,College Conference of Illinois and Wisconsin,IL,Decatur,
Millsaps College,college,NCAA_D3,Southern Athletic Association,MS,Jackson,
Milwaukee School of Engineering,college,NCAA_D3,Northern Athletics Collegiate Conference,WI,Milwaukee,
Minnesota State University Moorhead,college,NCAA_D2,Northern Sun Intercollegiate Conference,MN,Moorhead,
"Minnesota State University, Mankato",college,NCAA_D2,Northern Sun Intercollegiate Conference,MN,Mankato,
Minot State University,college,NCAA_D2,Northern Sun Intercollegiate Conference,ND,Minot,
Misericordia University,college,NCAA_D3,MAC Freedom,PA,Dallas,
Mission University,college,NAIA,American Midwest Conference,MO,Springfield,
Mississippi College,college,NCAA_D2,Gulf South Conference,MS,Clinton,
Mississippi State University,college,NCAA_D1_FBS,Southeastern Conference,MS,Mississippi State,
Mississippi University for Women,college,NCAA_D3,St. Louis Intercollegiate Athletic Conference,MS,Columbus,
Mississippi Valley State University,college,NCAA_D1_FCS,Southwestern Athletic Conference,MS,Itta Bena,
Missouri Baptist University,college,NAIA,Heart of America Athletic Conference,MO,St. Louis,
Missouri Southern State University,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,MO,Joplin,
Missouri State University,college,NCAA_D1_FBS,Conference USA,MO,Springfield,
Missouri University of Science and Technology,college,NCAA_D2,Great Lakes Valley Conference,MO,Rolla,
Missouri Valley College,college,NAIA,Heart of America Athletic Conference,MO,Marshall,
Missouri Western State University,college,NCAA_D2,Mid-America Intercollegiate Athletics Association,MO,St. Joseph,
Mitchell College,college,NCAA_D3,Great Northeast Athletic Conference,CT,New London,
Molloy University,college,NCAA_D2,East Coast Conference,NY,Rockville Centre,
Monmouth College,college,NCAA_D3,Midwest Conference,IL,Monmouth,
Monmouth University,college,NCAA_D1_FCS,Coastal Athletic Association,NJ,West Long Branch,
Monroe University,college,NCAA_D2,Central Atlantic Collegiate Conference,NY,New Rochelle,
Montana State University,college,NCAA_D1_FCS,Big Sky Conference,MT,Bozeman,
Montana State University Billings,college,NCAA_D2,Great Northwest Athletic Conference,MT,Billings,
Montana State University–Northern,college,NAIA,Frontier Conference,MT,Havre,
Montana Technological University(Montana Tech),college,NAIA,Frontier Conference,MT,Butte,
Montclair State University,college,NCAA_D3,New Jersey Athletic Conference,NJ,Montclair,
Montreat College,college,NAIA,Appalachian Athletic Conference,NC,Montreat,
